ID,Level,Category,Content,Type,Image ,,,,,
1,Beginner Level,Daily Needs,water,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/water.svg,,,,,
2,Beginner Level,Daily Needs,food,word,,,,,,
3,Beginner Level,Daily Needs,milk,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/milk.svg,,,,,
4,Beginner Level,Daily Needs,cup,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/cup.svg,,,,,
5,Beginner Level,Daily Needs,eat,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/eat.svg,,,,,
6,Beginner Level,Daily Needs,bath,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/bath.svg,,,,,
7,Beginner Level,Daily Needs,bed,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/bed.svg,,,,,
8,Beginner Level,Daily Needs,clothes,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/clothes.svg,,,,,
9,Beginner Level,Daily Needs,shoe,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/shoes.svg,,,,,
10,Beginner Level,Daily Needs,towel,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/towel.svg,,,,,
11,Beginner Level,Daily Needs,brush,word,,,,,,
12,Beginner Level,Daily Needs,soap,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/soap.svg,,,,,
13,Beginner Level,Daily Needs,bag,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/bag.svg,,,,,
14,Beginner Level,Daily Needs,key,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/key.svg,,,,,
15,Beginner Level,Daily Needs,door,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/door.svg,,,,,
16,Beginner Level,Daily Needs,plate,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/plate.svg,,,,,
17,Beginner Level,Daily Needs,spoon,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/spoon.svg,,,,,
18,Beginner Level,Daily Needs,bowl,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/bowl.svg,,,,,
19,Beginner Level,Daily Needs,rice,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/rice.svg,,,,,
20,Beginner Level,Daily Needs,bread,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/bread.svg,,,,,
21,Beginner Level,Daily Needs,sugar,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/sugar.svg,,,,,
22,Beginner Level,Daily Needs,tea,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/tea.svg,,,,,
23,Beginner Level,Daily Needs,juice,word,,,,,,
24,Beginner Level,Daily Needs,fruit,word,,,,,,
25,Beginner Level,Daily Needs,egg,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/egg.svg,,,,,
26,Beginner Level,Daily Needs,butter,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/butter.svg,,,,,
27,Beginner Level,Daily Needs,salt,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/salt.svg,,,,,
28,Beginner Level,Daily Needs,pepper,word,,,,,,
29,Beginner Level,Daily Needs,napkin,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/napkin.svg,,,,,
30,Beginner Level,Daily Needs,fork,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/fork.svg,,,,,
31,Beginner Level,Daily Needs,pan,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/pan.svg,,,,,
32,Beginner Level,Daily Needs,pot,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/pot.svg,,,,,
33,Beginner Level,Daily Needs,jug,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/jug.svg,,,,,
34,Beginner Level,Daily Needs,glass,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/glass.svg,,,,,
35,Beginner Level,Daily Needs,chair,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/chair.svg,,,,,
36,Beginner Level,Daily Needs,table,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/table.svg,,,,,
37,Beginner Level,Daily Needs,clock,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/clock.svg,,,,,
38,Beginner Level,Daily Needs,book,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/book.svg,,,,,
39,Beginner Level,Daily Needs,pencil,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/pencil.svg,,,,,
40,Beginner Level,Daily Needs,crayon,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/crayon.svg,,,,,
41,Beginner Level,Daily Needs,school,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/school.svg,,,,,
42,Beginner Level,Daily Needs,bus,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/bus.svg,,,,,
43,Beginner Level,Daily Needs,walk,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/walk.svg,,,,,
44,Beginner Level,Daily Needs,park,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/park.svg,,,,,
45,Beginner Level,Daily Needs,play,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/play.svg,,,,,
46,Beginner Level,Daily Needs,swing,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/swing.svg,,,,,
47,Beginner Level,Daily Needs,slide,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/slide.svg,,,,,
48,Beginner Level,Daily Needs,jump,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/jump.svg,,,,,
49,Beginner Level,Daily Needs,run,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/run.svg,,,,,
50,Beginner Level,Daily Needs,dance,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/dance.svg,,,,,
51,Beginner Level,Objects,ball,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/ball.svg,,,,,
52,Beginner Level,Objects,car,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/car.svg,,,,,
53,Beginner Level,Objects,chair,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/chair.svg,,,,,
54,Beginner Level,Objects,clock,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/clock.svg,,,,,
55,Beginner Level,Objects,pen,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/pen.svg,,,,,
56,Beginner Level,Objects,box,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/box.svg,,,,,
57,Beginner Level,Objects,table,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/table.svg,,,,,
58,Beginner Level,Objects,phone,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/phone.svg,,,,,
59,Beginner Level,Objects,light,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/light.svg,,,,,
60,Beginner Level,Objects,bag,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/bag.svg,,,,,
61,Beginner Level,Objects,doll,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/doll.svg,,,,,
62,Beginner Level,Objects,toy,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/toy.svg,,,,,
63,Beginner Level,Objects,bed,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/bed.svg,,,,,
64,Beginner Level,Objects,block,word,,,,,,
65,Beginner Level,Objects,puzzle,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/puzzle.svg,,,,,
66,Beginner Level,Objects,kite,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/kite.svg,,,,,
67,Beginner Level,Objects,balloon,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/balloon.svg,,,,,
68,Beginner Level,Objects,train,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/train.svg,,,,,
69,Beginner Level,Objects,fan,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/fan.svg,,,,,
70,Beginner Level,Objects,stove,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/stove.svg,,,,,
71,Beginner Level,Objects,lamp,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/lamp.svg,,,,,
72,Beginner Level,Objects,shelf,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/shelf.svg,,,,,
73,Beginner Level,Objects,basket,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/basket.svg,,,,,
74,Beginner Level,Objects,bottle,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/bottle.svg,,,,,
75,Beginner Level,Objects,mirror,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/mirror.svg,,,,,
76,Beginner Level,Objects,ladder,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/ladder.svg,,,,,
77,Beginner Level,Objects,bin,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/bin.svg,,,,,
78,Beginner Level,Objects,drum,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/drum.svg,,,,,
79,Beginner Level,Objects,guitar,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/guitar.svg,,,,,
80,Beginner Level,Objects,hat,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/hat.svg,,,,,
81,Beginner Level,Objects,mask,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/mask.svg,,,,,
82,Beginner Level,Objects,net,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/net.svg,,,,,
83,Beginner Level,Objects,paint,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/paint.svg,,,,,
84,Beginner Level,Objects,scarf,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/scarf.svg,,,,,
85,Beginner Level,Objects,stick,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/stick.svg,,,,,
86,Beginner Level,Objects,truck,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/truck.svg,,,,,
87,Beginner Level,Objects,umbrella,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/umbrella.svg,,,,,
88,Beginner Level,Objects,vase,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/vase.svg,,,,,
89,Beginner Level,Objects,wheel,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/wheel.svg,,,,,
90,Beginner Level,Cloths,Jacket,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/jacket.svg,,,,,
91,Beginner Level,Cloths,Sweater,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/sweater.svg,,,,,
92,Beginner Level,Cloths,Boots,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/boots.svg,,,,,
93,Beginner Level,Cloths,T-shirt,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/T-shirt.svg,,,,,
94,Beginner Level,Cloths,Hat,word,file:///D:/jdk/FYP/Dataset_images/dataset 1 to100/hat.svg,,,,,
95,Beginner Level,Cloths,Pants,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/pants.svg,,,,,
96,Beginner Level,Cloths,Dress,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/dress.svg,,,,,
97,Beginner Level,Cloths,Shorts,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/shorts.svg,,,,,
98,Beginner Level,Cloths,Hoodie,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/hoodie.svg,,,,,
99,Beginner Level,Cloths,Skirt,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/skirt.svg,,,,,
100,Beginner Level,Cloths,Sweater,word,file:///D:/jdk/FYP/Dataset_images/dataset%201%20to100/sweater.svg,,,,,
